Date__(UT)__HR:MN,R.A._(ICRF/J2000.0)_DEC,APmag,S-brt,delta,deldot,S-O-T,/r,S-T-O
2015-Oct-06 00:00,09 55 44.18 +10 00 07.8,-4.68,1.46,0.541354664,12.6864733,44.6593,/L,103.5905
2015-Oct-07 00:00,09 58 56.06 +09 51 49.3,-4.68,1.45,0.548692875,12.7274263,44.851,/L,102.7878
2015-Oct-08 00:00,10 02 10.92 +09 42 58.2,-4.67,1.45,0.55605376,12.7650484,45.0295,/L,101.9982
2015-Oct-09 00:00,10 05 28.61 +09 33 34.9,-4.66,1.45,0.563435462,12.7995659,45.1952,/L,101.2212
2015-Oct-10 00:00,10 08 49.00 +09 23 39.8,-4.65,1.45,0.570836249,12.8311894,45.3486,/L,100.4564
2015-Oct-11 00:00,10 12 11.96 +09 13 13.3,-4.64,1.44,0.578254508,12.8601167,45.4901,/L,99.7032
2015-Oct-12 00:00,10 15 37.35 +09 02 15.7,-4.63,1.44,0.585688736,12.8865339,45.6202,/L,98.9612
2015-Oct-13 00:00,10 19 05.08 +08 50 47.6,-4.63,1.44,0.593137535,12.910616,45.7393,/L,98.2301
2015-Oct-14 00:00,10 22 35.01 +08 38 49.3,-4.62,1.43,0.600599605,12.9325268,45.8478,/L,97.5094
2015-Oct-15 00:00,10 26 07.05 +08 26 21.3,-4.61,1.43,0.608073737,12.9524181,45.946,/L,96.7987
2015-Oct-16 00:00,10 29 41.09 +08 13 24.0,-4.6,1.43,0.615558804,12.9704291,46.0344,/L,96.0976
2015-Oct-17 00:00,10 33 17.05 +07 59 58.0,-4.59,1.43,0.623053758,12.9866853,46.1132,/L,95.4059
2015-Oct-18 00:00,10 36 54.82 +07 46 03.7,-4.58,1.42,0.63055762,13.0012988,46.1828,/L,94.7231
2015-Oct-19 00:00,10 40 34.34 +07 31 41.7,-4.57,1.42,0.638069469,13.0143661,46.2435,/L,94.0491
2015-Oct-20 00:00,10 44 15.51 +07 16 52.3,-4.56,1.42,0.645588436,13.0259668,46.2955,/L,93.3834
2015-Oct-21 00:00,10 47 58.27 +07 01 36.3,-4.56,1.41,0.653113693,13.0361585,46.3392,/L,92.7258
2015-Oct-22 00:00,10 51 42.56 +06 45 54.0,-4.55,1.41,0.660644436,13.044971,46.3748,/L,92.0761
